record_id,redcap_repeat_instrument,redcap_repeat_instance,gel_phos_data_url,gel_phos_expt_date,gel_phos_tni_phostag_moles,gel_phos_spec_number,gel_phos_region
AF1FF,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-729,2025-04-16,0.664508186996976,52800.3,
D6A67,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-729,2025-04-16,0.108113280388278,50228.1,
DFEFA,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-729,2025-04-16,0.337099477041996,51513.2,
FAC13,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-729,2025-04-16,0.538567185778292,55066.2,
FCFAD,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-729,2025-04-16,0.991650515936141,68636.2,
20C4A,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-729,2025-11-15,1.64209148522684,100371.2,15
E39DD,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-729,2025-11-15,1.97800997798249,105169.1,15
839EE,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-729,2025-11-15,0.963202170289699,51851.2,14
31331,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-729,2025-11-15,0.835712276094908,52617.8,15
4B3FA,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-729,2025-11-15,1.04294156797303,52854.1,15
BC90C,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-729,2025-11-15,1.41139224249356,53080.2,13
78952,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-729,2025-11-15,1.11617111020957,53130.6,13
B54F0,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-729,2025-11-15,1.29134882038149,54206.1,15
24713,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-729,2025-11-15,1.54782250684633,54352.2,11
02B37,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-729,2025-11-15,0.403238284168557,50380.2,13
E5A4A,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-729,2025-11-15,0.75341281586725,51911.2,15
B9727,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-729,2025-11-15,0.3229023438496,103726.1,15
43149,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-729,2025-11-15,0.489532694572776,51464.3,14
